analyse_id,analyse_code,analyse_libelle,sous_analyse_id,sous_code,sous_libelle,unit,data_type,domaine_analyse
1,NFS,Numération formule sanguine,101,WBC,Globules blancs,10^9/L,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,102,RBC,Globules rouges,10^12/L,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,103,HGB,Hémoglobine,g/dL,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,104,HCT,Hématocrite,%,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,105,MCV,Volume globulaire moyen,fL,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,106,MCH,Teneur corpusculaire moyenne en Hb,pg,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,107,MCHC,Concentration corpusculaire moyenne en Hb,g/dL,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,108,PLT,Plaquettes,10^9/L,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,109,NEU,Neutrophiles,%,NM,HEMATOLOGIE
1,NFS,Numération formule sanguine,110,LYM,Lymphocytes,%,NM,HEMATOLOGIE
2,ION,Ionogramme sanguin,201,NA,Sodium,mmol/L,NM,BIOCHIMIE
2,ION,Ionogramme sanguin,202,K,Potassium,mmol/L,NM,BIOCHIMIE
2,ION,Ionogramme sanguin,203,CL,Chlorure,mmol/L,NM,BIOCHIMIE
2,ION,Ionogramme sanguin,204,HCO3,Bicarbonate,mmol/L,NM,BIOCHIMIE
2,ION,Ionogramme sanguin,205,CA,Calcium,mmol/L,NM,BIOCHIMIE
3,BIO,Bilan rénal,301,UREA,Urée,mmol/L,NM,BIOCHIMIE
3,BIO,Bilan rénal,302,CREAT,Créatinine,µmol/L,NM,BIOCHIMIE
3,BIO,Bilan rénal,303,EGFR,Débit de filtration glomérulaire estimé,mL/min,NM,BIOCHIMIE
4,GLU,Glycémie,401,GLU,Glucose sanguin,mmol/L,NM,BIOCHIMIE
5,LIP,Bilan lipidique,501,CHOL,Cholestérol total,mmol/L,NM,BIOCHIMIE
5,LIP,Bilan lipidique,502,HDL,Cholestérol HDL,mmol/L,NM,BIOCHIMIE
5,LIP,Bilan lipidique,503,LDL,Cholestérol LDL,mmol/L,NM,BIOCHIMIE
5,LIP,Bilan lipidique,504,TRIG,Triglycérides,mmol/L,NM,BIOCHIMIE
6,HEP,Bilan hépatique,601,ALT,ALAT (GPT),U/L,NM,BIOCHIMIE
6,HEP,Bilan hépatique,602,AST,ASAT (GOT),U/L,NM,BIOCHIMIE
6,HEP,Bilan hépatique,603,ALP,Phosphatases alcalines,U/L,NM,BIOCHIMIE
6,HEP,Bilan hépatique,604,GGT,Gamma GT,U/L,NM,BIOCHIMIE
6,HEP,Bilan hépatique,605,BILI,Bilirubine totale,µmol/L,NM,BIOCHIMIE
7,CRP,CRP,701,CRP,Protéine C-réactive,mg/L,NM,IMMUNOLOGIE
8,THY,Bilan thyroïdien,801,TSH,Thyroid stimulating hormone,mIU/L,NM,HORMONOLOGIE
8,THY,Bilan thyroïdien,802,FT4,Thyroxine libre,pmol/L,NM,HORMONOLOGIE
8,THY,Bilan thyroïdien,803,FT3,Triiodothyronine libre,pmol/L,NM,HORMONOLOGIE
9,COAG,Bilan de coagulation,901,TP,Taux de prothrombine,%,NM,HEMOSTASE
9,COAG,Bilan de coagulation,902,INR,International Normalized Ratio,,NM,HEMOSTASE
9,COAG,Bilan de coagulation,903,TCA,Temps de céphaline activée,sec,NM,HEMOSTASE
9,COAG,Bilan de coagulation,904,FIB,Fibrinogène,g/L,NM,HEMOSTASE
10,FER,Bilan du fer,1001,FER,Fer sérique,µmol/L,NM,BIOCHIMIE
